"filename", "language", "C++", "Markdown", "Makefile", "CMake", "Shell Script", "Batch", "YAML", "HTML", "SCSS", "Python", "comment", "blank", "total"
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/quickstart-cmake.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 158
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/actions.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 117
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/assertions.md", "Markdown", 0, 454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 641
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/matchers.md", "Markdown", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 306
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/mocking.md", "Markdown", 0, 435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 589
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/testing.md", "Markdown", 0, 978, 0, 0, 0, 0, 0, 0, 0, 0, 1, 572, 1551
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/samples.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/CMakeLists.txt", "CMake", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 36, 211
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/README.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/docs/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-actions.h", "C++", 1260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 846, 299, 2405
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-cardinalities.h", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 33, 160
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-function-mocker.h", "C++", 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 74, 520
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-matchers.h", "C++", 3787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1412, 693, 5892
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-more-actions.h", "C++", 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 31, 660
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-more-matchers.h", "C++", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 20, 121
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-nice-strict.h", "C++", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 37, 278
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-spec-builders.h", "C++", 1077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 776, 294, 2147
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 12, 98
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/gmock-generated-actions.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 8
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/gmock-matchers.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 4, 38
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/gmock-port.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 41
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/gmock-internal-utils.h", "C++", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 62, 485
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/gmock-port.h", "C++", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 21, 141
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/gmock-pp.h", "C++", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 26, 280
